Date,Date,Open,High,Low,Close,Volume,Turnover,Year,Month,Day,WeekOfYear,vol_(t+1),volume_shock,VOL_SHOCK_DIR,price_t+1,price_shock,price_black_swan,PRICE_SHOCK_DIR,BLACK_SWAN_SHOCK_DIR,not_vol_shock,price_shock_w/0_vol_shock
2015-09-25,2015-09-24,2535.5,2590.0,2529.9,2580.4,1177127,301556264485000.0,2015,9,24,39,1177127.0,0,,2580.4,0,0,,,1,0
2015-09-26,2015-09-24,2535.5,2590.0,2529.9,2580.4,1177127,301556264485000.0,2015,9,24,39,1177127.0,0,,2580.4,0,0,,,1,0
2015-09-27,2015-09-24,2535.5,2590.0,2529.9,2580.4,1177127,301556264485000.0,2015,9,24,39,1177127.0,0,,2580.4,0,0,,,1,0
2015-09-28,2015-09-28,2594.0,2619.0,2579.5,2593.7,1183406,308082083395000.0,2015,9,28,40,1177127.0,0,,2580.4,0,0,,,1,0
2015-09-29,2015-09-29,2583.35,2634.0,2569.85,2588.25,1662976,432994617065000.0,2015,9,29,40,1183406.0,1,0.0,2593.7,0,0,,,0,0
2015-09-30,2015-09-30,2643.7,2643.7,2570.95,2588.05,1684168,435522706805000.0,2015,9,30,40,1662976.0,0,,2588.25,0,0,,,1,0
2015-10-01,2015-10-01,2599.0,2649.95,2592.2,2644.6,1417204,372791411480000.0,2015,10,1,40,1684168.0,1,1.0,2588.05,1,1,0.0,0.0,0,0
2015-10-02,2015-10-01,2599.0,2649.95,2592.2,2644.6,1417204,372791411480000.0,2015,10,1,40,1417204.0,0,,2644.6,0,0,,,1,0
2015-10-03,2015-10-01,2599.0,2649.95,2592.2,2644.6,1417204,372791411480000.0,2015,10,1,40,1417204.0,0,,2644.6,0,0,,,1,0
2015-10-04,2015-10-01,2599.0,2649.95,2592.2,2644.6,1417204,372791411480000.0,2015,10,1,40,1417204.0,0,,2644.6,0,0,,,1,0
2015-10-05,2015-10-05,2652.7,2770.0,2652.7,2711.65,2403653,651724834320000.0,2015,10,5,41,1417204.0,1,0.0,2644.6,1,1,0.0,0.0,0,0
2015-10-06,2015-10-06,2725.0,2726.0,2684.0,2700.0,1989795,538218936520000.0,2015,10,6,41,2403653.0,1,1.0,2711.65,0,0,,,0,0
